step,action,price,shares,cost
10,buy,985.48193359375,283.9821910264387,279.85931871892456
11,sell,1028.6148681640625,283.9821910264387,292.10830398360184
12,buy,1027.171875,195.60278756646235,200.9176820598698
13,sell,1027.171875,64.56082544351479,66.31506412236278
14,sell,1017.5509643554688,131.04196212294755,133.3418749292381
15,buy,1049.6199951171875,344.13581930842656,361.21183698216
16,sell,1062.44775390625,344.13581930842656,365.6263282629249
17,buy,1070.6253662109375,581.09140466848,622.1311979252195
18,sell,1074.95458984375,411.55643731462385,442.40448127109653
19,buy,1093.71484375,57.0275268613672,62.37185263062916
20,buy,1105.0994873046875,360.1009663211776,397.9473932594559
21,sell,1097.4031982421875,586.663460536401,643.8063578844757
22,buy,1088.7442626953125,673.0295770405704,732.7570906271739
23,sell,1090.0272216796875,673.0295770405704,733.6205599697882
24,buy,1093.073486328125,163.90361129937162,179.158691824774
25,sell,1087.782470703125,163.90361129937162,178.2914752563951
39,buy,1059.08056640625,102.78854164913692,108.86134690984035
40,buy,1062.287353515625,80.13180659385361,85.12300475901066
41,buy,1061.1649169921875,101.91150635705806,108.1449151839363
42,buy,1059.08056640625,301.5486492412186,319.3643142374294
43,sell,1067.0975341796875,368.1856859133232,392.8900375583641
44,buy,1073.832275390625,191.43843926193003,205.57277482986828
45,sell,1088.7442626953125,409.63325718987403,445.9858585746687
56,buy,1055.71337890625,81.50271229555209,86.04350378756126
60,sell,1053.30810546875,81.50271229555209,85.84746747859256
63,buy,1064.5322265625,102.57153596534351,109.19070556312269
64,sell,1070.46484375,102.57153596534351,109.79922322033896
65,buy,1077.680419921875,234.41426876426192,252.62366759754906
66,sell,1082.8115234375,234.41426876426192,253.82647147611803
68,buy,1080.566650390625,213.13359776122982,230.30505781855493
69,sell,1080.5665283203125,213.13359776122982,230.30503180127005
70,buy,1064.4049072265625,281.3183315294639,299.4366125727504
71,sell,1059.017333984375,281.3183315294639,297.92098945726536
72,buy,1083.178955078125,92.89176327232033,100.6184030766765
73,sell,1093.4635009765625,54.97380208049862,60.11184608493466
74,buy,1098.5244140625,80.37394809454915,88.2927442364544
75,sell,1104.0748291015625,118.29190928637087,130.60311952944744
87,buy,1136.7252197265625,149.0370929830498,169.41422226856542
88,buy,1141.6229248046875,70.25107423498915,80.20023683881954
89,sell,1124.97119140625,177.34702877326959,199.5102982514236
90,buy,1126.6036376953125,264.1006791972234,297.5367859013947
91,sell,1127.2569580078125,300.23054659048205,338.4369726506096
94,buy,1068.4859619140625,192.59135038147448,205.78115426867802
95,buy,1067.1800537109375,361.2222114673353,385.4891390352945
96,buy,1068.4859619140625,298.3774934839322,318.81216313868623
100,sell,1061.46630859375,94.63920707447036,100.45632978157758
102,sell,1060.1600341796875,427.13852257671715,452.83519069439365
103,buy,1059.67041015625,87.63047659487167,92.85942307547532
104,sell,1060.976318359375,260.0532998380516,275.9103926393826
105,buy,1061.46630859375,173.70883899619724,184.38608009939955
106,sell,1069.955322265625,315.34364908271453,337.403615678714
110,buy,1042.2025146484375,234.72622662910086,244.63226364678798
111,sell,1035.5091552734375,160.08376787668726,165.76820724697748
112,buy,1039.590087890625,204.76700651776878,212.87375030290744
113,buy,1066.037353515625,465.3240749564824,496.0528453937148
114,sell,1068.8125,458.6283951540163,490.18776159555205
115,buy,1075.505859375,400.04477262252414,430.2504969678643
116,sell,1094.769775390625,250.57265968410516,274.31937436139935
117,sell,1106.68701171875,400.3692997380902,443.0835039110756
118,buy,1113.0540771484375,322.4356374057743,358.88830083245233
